CASENO	DATE	LABEL	DJIA_CLOSE	NORTH_KOREA; NORTH_KOREAN	PHONE_HACKING; PRIME_MINISTER	CLIMATE_CHANGE; FOSSIL_FUELS	HUMAN_RIGHTS; UNITED_NATIONS	SAUDI_ARABIA	SYRIAN_ARMY; ISLAMIC_STATE	CATHOLIC_CHURCH; SEXUAL_ABUSE	WEST_BANK; GAZA_WAR	LATIN_AMERICA; GAY_MARRIAGE	AL_QAEDA	WAR_CRIMES; AMNESTY_INTERNATIONAL	EDWARD_SNOWDEN; MASS_SURVEILLANCE	RUSSIAN_PRESIDENT	SOUTH_AFRICA	EURO_ZONE; INTELLIGENCE_AGENCIES	PRO_DEMOCRACY; SUU_KYI	NICOLAS_SARKOZY; ANGELA_MERKEL	GREAT_BARRIER_REEF; WORLD_HERITAGE	TONY_BLAIR	IVORY_COAST	PRESIDENT_MAHMOUD; GAZA_STRIP	GOLDMAN_SACHS	OPEN_FIRE	TEAR_GAS	EAST_JERUSALEM	EASTERN_UKRAINE; SPECIAL_FORCES	SRI_LANKA	PRESIDENT_BARACK_OBAMA	COLD_WAR; UKRAINE_CRISIS	FRENCH_GOVERNMENT; COUNTRY_IN_THE_WORLD	NUCLEAR_POWER	INTERNATIONAL_LAW; AIR_STRIKES	NOBEL_PEACE_PRIZE; NOBEL_PRIZE	MONTHS_AFTER; PRESIDENT_OBAMA	RED_CROSS; DRINKING_WATER	ANTI_TERROR; CHINESE_GOVERNMENT; GOVERNMENT_OFFICIALS	POLICE_ARREST	HUNDREDS_OF_THOUSANDS; ARMED_FORCES
1	08/08/2008	0	11734.32031	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
2	08/11/2008	1	11782.34961	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	08/12/2008	0	11642.46973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
4	08/13/2008	0	11532.95996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	08/14/2008	1	11615.92969	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
6	08/15/2008	1	11659.90039	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	08/18/2008	0	11479.38965	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
8	08/19/2008	0	11348.54981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
9	08/20/2008	1	11417.42969	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	08/21/2008	1	11430.20996	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	08/22/2008	1	11628.05957	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12	08/25/2008	0	11386.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	08/26/2008	1	11412.87012	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14	08/27/2008	1	11502.50977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	08/28/2008	1	11715.17969	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
